A,B,STLB LOAD MPKI,STLB TOTAL MPKI,IPC,speedup
429.mcf-184B,masp,12.893,33.6043,0.0651752,0.9956568565
429.mcf-184B,stp,7.0938,15.6854,0.0654173,0.9993553266
429.mcf-184B,optimized,5.66732,5.682,0.0654588,0.9999893064
429.mcf-184B,no,5.65792,5.65792,0.0654595,1
429.mcf-184B,h2p,5.76808,6.69572,0.0653463,0.9982706865
429.mcf-192B,stp,3.75876,6.6468,0.065954,0.9996089712
429.mcf-192B,optimized,2.61296,2.61624,0.0660562,1.00115793
429.mcf-192B,h2p,2.65244,2.81716,0.0661178,1.002091549
429.mcf-192B,masp,10.0834,29.5742,0.0659798,1
429.mcf-192B,no,2.61116,2.61116,0.0660565,1.001162477
429.mcf-217B,no,0.85312,0.85312,0.213847,1.008717022
429.mcf-217B,h2p,0.5504,0.8532,0.213431,1.006754749
429.mcf-217B,stp,0.34148,0.8602,0.212187,1.000886797
429.mcf-217B,masp,0.09532,0.85336,0.211999,1
429.mcf-217B,optimized,0.35072,0.85884,0.212311,1.001471705
429.mcf-22B,stp,3.01508,5.06984,0.364095,1.009221993
429.mcf-22B,no,3.39104,3.39104,0.359425,0.996277386
429.mcf-22B,masp,3.28044,5.36152,0.349477,0.9687028783
429.mcf-22B,optimized,3.35656,3.39528,0.360768,1
429.mcf-22B,h2p,3.39464,4.91264,0.349422,0.9685504258
429.mcf-51B,masp,14.7631,32.5708,0.0876181,0.9877125088
429.mcf-51B,h2p,11.2411,13.1825,0.0877757,0.9894891222
429.mcf-51B,no,11.1904,11.1904,0.0887082,1.000001127
429.mcf-51B,optimized,11.189,11.1912,0.0887081,1
429.mcf-51B,stp,10.4129,27.0269,0.088791,1.000934526
605.mcf_s-1152B,stp,0.40932,0.67332,0.226179,0.9996464229
605.mcf_s-1152B,h2p,0.34556,0.36988,0.226259,1
605.mcf_s-1152B,masp,0.43856,1.34788,0.225875,0.9983028299
605.mcf_s-1152B,optimized,0.34556,0.36992,0.226259,1
605.mcf_s-1152B,no,0.32508,0.32508,0.226166,0.9995889666
605.mcf_s-1536B,optimized,13.9932,31.117,0.298114,0.9990013806
605.mcf_s-1536B,stp,22.656,64.5482,0.265431,0.8894783052
605.mcf_s-1536B,h2p,13.8924,29.0851,0.300869,1.008233583
605.mcf_s-1536B,masp,13.853,31.2667,0.298412,1
605.mcf_s-1536B,no,22.4812,22.4812,0.277592,0.9302306878